"filename", "language", "Markdown", "XML", "JavaScript", "PostCSS", "JSON", "Python", "pip requirements", "HTML", "comment", "blank", "total"
"c:\Files\RMS-site\backend\research\apps.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"c:\Files\RMS-site\backend\research\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 41, 0, 0, 1, 7, 49
"c:\Files\RMS-site\backend\research\migrations\0002_alter_research_options_and_more.py", "Python", 0, 0, 0, 0, 0, 25, 0, 0, 1, 6, 32
"c:\Files\RMS-site\backend\research\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\research\models.py", "Python", 0, 0, 0, 0, 0, 26, 0, 0, 2, 6, 34
"c:\Files\RMS-site\backend\research\tests.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\Files\RMS-site\backend\research\views.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\Files\RMS-site\backend\secret_lab\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\secret_lab\asgi.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 8, 5, 17
"c:\Files\RMS-site\backend\secret_lab\settings.py", "Python", 0, 0, 0, 0, 0, 106, 0, 0, 22, 35, 163
"c:\Files\RMS-site\backend\secret_lab\urls.py", "Python", 0, 0, 0, 0, 0, 9, 0, 0, 16, 2, 27
"c:\Files\RMS-site\backend\secret_lab\wsgi.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 8, 5, 17
"c:\Files\RMS-site\frontend\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Files\RMS-site\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 17545, 0, 0, 0, 0, 1, 17546
"c:\Files\RMS-site\frontend\package.json", "JSON", 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"c:\Files\RMS-site\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Files\RMS-site\frontend\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Files\RMS-site\frontend\src\App.css", "PostCSS", 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Files\RMS-site\frontend\src\App.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Files\RMS-site\frontend\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Files\RMS-site\frontend\src\index.css", "PostCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Files\RMS-site\frontend\src\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Files\RMS-site\frontend\src\logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Files\RMS-site\frontend\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Files\RMS-site\frontend\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 38, 1, 55, 45, 17609, 1034, 15, 20, 127, 330, 19274
